airline,A,B,country_A,lon_A,lat_A,country_B,lon_B,lat_B,color,AB
AA,CLT,RDU,US,-80.94309997558594,35.2140007019043,US,-78.7874984741211,35.877601623535156,#00ffff,CLT_RDU
DL,LGA,TPA,US,-73.872597,40.777199,US,-82.533203125,27.975500106811523,#ff0000,LGA_TPA
AA,LGA,PIT,US,-73.872597,40.777199,US,-80.23290253,40.49150085,#00ffff,LGA_PIT
UA,ORD,AVL,US,-87.9048,41.9786,US,-82.541801,35.436199,#426ae1,ORD_AVL
DL,ATL,DTW,US,-84.428101,33.6367,US,-83.35340118408203,42.212398529052734,#ff0000,ATL_DTW
DL,MSP,BOI,US,-93.221802,44.882,US,-116.223,43.5644,#ff0000,MSP_BOI
AA,LAX,PDX,US,-118.407997,33.942501,US,-122.5979996,45.58869934,#00ffff,LAX_PDX
UA,ORD,ELP,US,-87.9048,41.9786,US,-106.3779984,31.80719948,#426ae1,ORD_ELP
DL,MSP,MKE,US,-93.221802,44.882,US,-87.89659881591797,42.947200775146484,#ff0000,MSP_MKE
DL,SLC,SJC,US,-111.97799682617188,40.78839874267578,US,-121.929001,37.362598,#ff0000,SLC_SJC
UA,ORD,COS,US,-87.9048,41.9786,US,-104.700996,38.805801,#426ae1,ORD_COS
DL,CVG,MCO,US,-84.667801,39.048801,US,-81.30899810791016,28.429399490356445,#ff0000,CVG_MCO
AA,DFW,TYR,US,-97.038002,32.896801,US,-95.40239715576172,32.35409927368164,#00ffff,DFW_TYR
UA,IAD,GSO,US,-77.45580292,38.94449997,US,-79.93730163574219,36.097801208496094,#426ae1,IAD_GSO
UA,EWR,CAK,US,-74.168701171875,40.692501068115234,US,-81.44219970703125,40.916099548339844,#426ae1,EWR_CAK
AA,PHX,MEM,US,-112.01200103759766,33.43429946899414,US,-89.97669982910156,35.04240036010742,#00ffff,PHX_MEM
DL,DTW,HPN,US,-83.35340118408203,42.212398529052734,US,-73.70760345458984,41.06700134277344,#ff0000,DTW_HPN
UA,DEN,EAR,US,-104.672996521,39.861698150635,US,-99.00679779,40.72700119,#426ae1,DEN_EAR
AA,ORD,IND,US,-87.9048,41.9786,US,-86.294403,39.7173,#00ffff,ORD_IND
AA,ORD,SAN,US,-87.9048,41.9786,US,-117.190002441,32.7336006165,#00ffff,ORD_SAN
DL,MSP,GFK,US,-93.221802,44.882,US,-97.176102,47.949299,#ff0000,MSP_GFK
DL,ATL,ROC,US,-84.428101,33.6367,US,-77.67240142822266,43.118900299072266,#ff0000,ATL_ROC
AA,PHL,ORF,US,-75.24109649658203,39.87189865112305,US,-76.20120239257812,36.89459991455078,#00ffff,PHL_ORF
AA,ORD,XNA,US,-87.9048,41.9786,US,-94.306801,36.281898,#00ffff,ORD_XNA
DL,DTW,FWA,US,-83.35340118408203,42.212398529052734,US,-85.19509888,40.97850037,#ff0000,DTW_FWA
DL,ATL,MIA,US,-84.428101,33.6367,US,-80.29060363769531,25.79319953918457,#ff0000,ATL_MIA
DL,MSP,BRD,US,-93.221802,44.882,US,-94.13809967,46.39830017,#ff0000,MSP_BRD
UA,DEN,DSM,US,-104.672996521,39.861698150635,US,-93.66310119628906,41.534000396728516,#426ae1,DEN_DSM
DL,SLC,DEN,US,-111.97799682617188,40.78839874267578,US,-104.672996521,39.861698150635,#ff0000,SLC_DEN
AA,ORD,STL,US,-87.9048,41.9786,US,-90.370003,38.748697,#00ffff,ORD_STL
AA,PHL,SYR,US,-75.24109649658203,39.87189865112305,US,-76.1063003540039,43.11119842529297,#00ffff,PHL_SYR
DL,ATL,ELP,US,-84.428101,33.6367,US,-106.3779984,31.80719948,#ff0000,ATL_ELP
DL,MSP,MSY,US,-93.221802,44.882,US,-90.25800323486328,29.99340057373047,#ff0000,MSP_MSY
DL,BOS,MSP,US,-71.00520325,42.36429977,US,-93.221802,44.882,#ff0000,BOS_MSP
UA,DEN,DVL,US,-104.672996521,39.861698150635,US,-98.90879822,48.11420059,#426ae1,DEN_DVL
UA,ORD,AUS,US,-87.9048,41.9786,US,-97.6698989868164,30.194499969482422,#426ae1,ORD_AUS
AA,BOS,ROC,US,-71.00520325,42.36429977,US,-77.67240142822266,43.118900299072266,#00ffff,BOS_ROC
DL,MSP,PDX,US,-93.221802,44.882,US,-122.5979996,45.58869934,#ff0000,MSP_PDX
UA,DEN,EUG,US,-104.672996521,39.861698150635,US,-123.21199798583984,44.12459945678711,#426ae1,DEN_EUG
UA,SFO,OKC,US,-122.375,37.61899948120117,US,-97.60070037841797,35.39310073852539,#426ae1,SFO_OKC
UA,ORD,BIS,US,-87.9048,41.9786,US,-100.74600219726562,46.772701263427734,#426ae1,ORD_BIS
AA,CLT,HVN,US,-80.94309997558594,35.2140007019043,US,-72.88680267,41.26369858,#00ffff,CLT_HVN
AA,CLT,EWN,US,-80.94309997558594,35.2140007019043,US,-77.04290008539999,35.0730018616,#00ffff,CLT_EWN
DL,LAX,BOI,US,-118.407997,33.942501,US,-116.223,43.5644,#ff0000,LAX_BOI
UA,EWR,PVD,US,-74.168701171875,40.692501068115234,US,-71.420403,41.732601,#426ae1,EWR_PVD
UA,DEN,OMA,US,-104.672996521,39.861698150635,US,-95.894096,41.3032,#426ae1,DEN_OMA
AA,LGA,IND,US,-73.872597,40.777199,US,-86.294403,39.7173,#00ffff,LGA_IND
DL,DTW,MSY,US,-83.35340118408203,42.212398529052734,US,-90.25800323486328,29.99340057373047,#ff0000,DTW_MSY
UA,IAH,SAN,US,-95.34140014648438,29.984399795532227,US,-117.190002441,32.7336006165,#426ae1,IAH_SAN
UA,IAH,MKE,US,-95.34140014648438,29.984399795532227,US,-87.89659881591797,42.947200775146484,#426ae1,IAH_MKE
AA,PHL,IAH,US,-75.24109649658203,39.87189865112305,US,-95.34140014648438,29.984399795532227,#00ffff,PHL_IAH
UA,DEN,ORF,US,-104.672996521,39.861698150635,US,-76.20120239257812,36.89459991455078,#426ae1,DEN_ORF
AA,PHX,ROW,US,-112.01200103759766,33.43429946899414,US,-104.530998,33.301601,#00ffff,PHX_ROW
UA,LAX,SLC,US,-118.407997,33.942501,US,-111.97799682617188,40.78839874267578,#426ae1,LAX_SLC
UA,ORD,MBS,US,-87.9048,41.9786,US,-84.07959747314453,43.532901763916016,#426ae1,ORD_MBS
DL,DTW,HSV,US,-83.35340118408203,42.212398529052734,US,-86.775100708008,34.637199401855,#ff0000,DTW_HSV
AA,CLT,CHO,US,-80.94309997558594,35.2140007019043,US,-78.4529037475586,38.13859939575195,#00ffff,CLT_CHO
DL,SLC,TPA,US,-111.97799682617188,40.78839874267578,US,-82.533203125,27.975500106811523,#ff0000,SLC_TPA
AA,ORD,CVG,US,-87.9048,41.9786,US,-84.667801,39.048801,#00ffff,ORD_CVG
DL,DTW,AVP,US,-83.35340118408203,42.212398529052734,US,-75.72339630130001,41.338500976599995,#ff0000,DTW_AVP
UA,DEN,SYR,US,-104.672996521,39.861698150635,US,-76.1063003540039,43.11119842529297,#426ae1,DEN_SYR
DL,SEA,RDM,US,-122.308998,47.449001,US,-121.1500015,44.2541008,#ff0000,SEA_RDM
AA,CLT,CMI,US,-80.94309997558594,35.2140007019043,US,-88.27809906,40.03919983,#00ffff,CLT_CMI
AA,DCA,IND,US,-77.037697,38.8521,US,-86.294403,39.7173,#00ffff,DCA_IND
AA,LGA,BNA,US,-73.872597,40.777199,US,-86.6781997680664,36.1245002746582,#00ffff,LGA_BNA
DL,DTW,FLL,US,-83.35340118408203,42.212398529052734,US,-80.152702,26.072599,#ff0000,DTW_FLL
UA,DEN,COD,US,-104.672996521,39.861698150635,US,-109.024002075,44.520198822,#426ae1,DEN_COD
DL,CVG,RDU,US,-84.667801,39.048801,US,-78.7874984741211,35.877601623535156,#ff0000,CVG_RDU
UA,SFO,ATL,US,-122.375,37.61899948120117,US,-84.428101,33.6367,#426ae1,SFO_ATL
UA,ORD,BNA,US,-87.9048,41.9786,US,-86.6781997680664,36.1245002746582,#426ae1,ORD_BNA
UA,IAD,GRR,US,-77.45580292,38.94449997,US,-85.52279663,42.88079834,#426ae1,IAD_GRR
DL,JFK,LAS,US,-73.7789,40.639801,US,-115.1520004,36.08010101,#ff0000,JFK_LAS
UA,ORD,CHS,US,-87.9048,41.9786,US,-80.04049683,32.89860153,#426ae1,ORD_CHS
DL,MSP,ORD,US,-93.221802,44.882,US,-87.9048,41.9786,#ff0000,MSP_ORD
DL,ATL,LAS,US,-84.428101,33.6367,US,-115.1520004,36.08010101,#ff0000,ATL_LAS
AA,PHX,LIH,US,-112.01200103759766,33.43429946899414,US,-159.33900451660156,21.97599983215332,#00ffff,PHX_LIH
UA,ORD,GSO,US,-87.9048,41.9786,US,-79.93730163574219,36.097801208496094,#426ae1,ORD_GSO
DL,ATL,RST,US,-84.428101,33.6367,US,-92.5,43.90829849243164,#ff0000,ATL_RST
UA,DEN,PUB,US,-104.672996521,39.861698150635,US,-104.49700164794922,38.289100646972656,#426ae1,DEN_PUB
DL,LAX,BNA,US,-118.407997,33.942501,US,-86.6781997680664,36.1245002746582,#ff0000,LAX_BNA
DL,SLC,COS,US,-111.97799682617188,40.78839874267578,US,-104.700996,38.805801,#ff0000,SLC_COS
DL,CVG,SLC,US,-84.667801,39.048801,US,-111.97799682617188,40.78839874267578,#ff0000,CVG_SLC
AA,DFW,SPS,US,-97.038002,32.896801,US,-98.491898,33.9888,#00ffff,DFW_SPS
AA,DFW,ABQ,US,-97.038002,32.896801,US,-106.609001,35.040199,#00ffff,DFW_ABQ
UA,SFO,PHX,US,-122.375,37.61899948120117,US,-112.01200103759766,33.43429946899414,#426ae1,SFO_PHX
UA,DEN,SNA,US,-104.672996521,39.861698150635,US,-117.8679962,33.67570114,#426ae1,DEN_SNA
AA,DCA,JAN,US,-77.037697,38.8521,US,-90.0758972168,32.3111991882,#00ffff,DCA_JAN
DL,SLC,GEG,US,-111.97799682617188,40.78839874267578,US,-117.53399658203125,47.61989974975586,#ff0000,SLC_GEG
UA,ORD,SAT,US,-87.9048,41.9786,US,-98.469803,29.533701,#426ae1,ORD_SAT
AA,CLT,DCA,US,-80.94309997558594,35.2140007019043,US,-77.037697,38.8521,#00ffff,CLT_DCA
AA,DCA,ECP,US,-77.037697,38.8521,US,-85.795414,30.357106,#00ffff,DCA_ECP
DL,JFK,RIC,US,-73.7789,40.639801,US,-77.3197021484375,37.50519943237305,#ff0000,JFK_RIC
UA,ORD,SEA,US,-87.9048,41.9786,US,-122.308998,47.449001,#426ae1,ORD_SEA
DL,JFK,CLT,US,-73.7789,40.639801,US,-80.94309997558594,35.2140007019043,#ff0000,JFK_CLT
AA,CLT,SHV,US,-80.94309997558594,35.2140007019043,US,-93.8256,32.446602,#00ffff,CLT_SHV
AA,DFW,AVL,US,-97.038002,32.896801,US,-82.541801,35.436199,#00ffff,DFW_AVL
UA,DEN,DTW,US,-104.672996521,39.861698150635,US,-83.35340118408203,42.212398529052734,#426ae1,DEN_DTW
DL,ATL,SAN,US,-84.428101,33.6367,US,-117.190002441,32.7336006165,#ff0000,ATL_SAN
DL,SLC,BIL,US,-111.97799682617188,40.78839874267578,US,-108.54299926757812,45.807701110839844,#ff0000,SLC_BIL
AA,PHL,OMA,US,-75.24109649658203,39.87189865112305,US,-95.894096,41.3032,#00ffff,PHL_OMA
DL,BOS,BUF,US,-71.00520325,42.36429977,US,-78.73220062,42.94049835,#ff0000,BOS_BUF
DL,SLC,FCA,US,-111.97799682617188,40.78839874267578,US,-114.25599670410156,48.31050109863281,#ff0000,SLC_FCA
DL,SLC,JAC,US,-111.97799682617188,40.78839874267578,US,-110.73799896240234,43.6072998046875,#ff0000,SLC_JAC
DL,ATL,GPT,US,-84.428101,33.6367,US,-89.07009887695312,30.40730094909668,#ff0000,ATL_GPT
AA,ORD,SFO,US,-87.9048,41.9786,US,-122.375,37.61899948120117,#00ffff,ORD_SFO
AA,DFW,MGM,US,-97.038002,32.896801,US,-86.39399719,32.30059814,#00ffff,DFW_MGM
DL,LGA,RIC,US,-73.872597,40.777199,US,-77.3197021484375,37.50519943237305,#ff0000,LGA_RIC
UA,IAH,MSP,US,-95.34140014648438,29.984399795532227,US,-93.221802,44.882,#426ae1,IAH_MSP
UA,ORD,PIT,US,-87.9048,41.9786,US,-80.23290253,40.49150085,#426ae1,ORD_PIT
UA,ORD,FAR,US,-87.9048,41.9786,US,-96.81580352783203,46.92070007324219,#426ae1,ORD_FAR
AA,LAX,SMF,US,-118.407997,33.942501,US,-121.59100341796875,38.69540023803711,#00ffff,LAX_SMF
DL,SEA,SAN,US,-122.308998,47.449001,US,-117.190002441,32.7336006165,#ff0000,SEA_SAN
DL,CVG,ORD,US,-84.667801,39.048801,US,-87.9048,41.9786,#ff0000,CVG_ORD
AA,DFW,RIC,US,-97.038002,32.896801,US,-77.3197021484375,37.50519943237305,#00ffff,DFW_RIC
UA,IAH,JAN,US,-95.34140014648438,29.984399795532227,US,-90.0758972168,32.3111991882,#426ae1,IAH_JAN
AA,DFW,COU,US,-97.038002,32.896801,US,-92.219597,38.8181,#00ffff,DFW_COU
DL,JFK,PDX,US,-73.7789,40.639801,US,-122.5979996,45.58869934,#ff0000,JFK_PDX
UA,DEN,RSW,US,-104.672996521,39.861698150635,US,-81.75520324707031,26.53619956970215,#426ae1,DEN_RSW
AA,PHX,MFR,US,-112.01200103759766,33.43429946899414,US,-122.87300109863281,42.37419891357422,#00ffff,PHX_MFR
UA,IAD,ALB,US,-77.45580292,38.94449997,US,-73.80169677734375,42.74829864501953,#426ae1,IAD_ALB
UA,DEN,GRR,US,-104.672996521,39.861698150635,US,-85.52279663,42.88079834,#426ae1,DEN_GRR
DL,DTW,OMA,US,-83.35340118408203,42.212398529052734,US,-95.894096,41.3032,#ff0000,DTW_OMA
UA,IAH,LCH,US,-95.34140014648438,29.984399795532227,US,-93.22329711914062,30.126100540161133,#426ae1,IAH_LCH
UA,IAD,DFW,US,-77.45580292,38.94449997,US,-97.038002,32.896801,#426ae1,IAD_DFW
AA,DFW,MHK,US,-97.038002,32.896801,US,-96.6707992553711,39.14099884033203,#00ffff,DFW_MHK
DL,LAX,SLC,US,-118.407997,33.942501,US,-111.97799682617188,40.78839874267578,#ff0000,LAX_SLC
DL,ATL,SFO,US,-84.428101,33.6367,US,-122.375,37.61899948120117,#ff0000,ATL_SFO
UA,EWR,ALB,US,-74.168701171875,40.692501068115234,US,-73.80169677734375,42.74829864501953,#426ae1,EWR_ALB
AA,MIA,CMH,US,-80.29060363769531,25.79319953918457,US,-82.891899,39.998001,#00ffff,MIA_CMH
DL,DTW,MCO,US,-83.35340118408203,42.212398529052734,US,-81.30899810791016,28.429399490356445,#ff0000,DTW_MCO
DL,MSP,SEA,US,-93.221802,44.882,US,-122.308998,47.449001,#ff0000,MSP_SEA
AA,DFW,BMI,US,-97.038002,32.896801,US,-88.91590118,40.47710037,#00ffff,DFW_BMI
DL,DTW,AZO,US,-83.35340118408203,42.212398529052734,US,-85.5521011352539,42.234901428222656,#ff0000,DTW_AZO
DL,MSP,CLT,US,-93.221802,44.882,US,-80.94309997558594,35.2140007019043,#ff0000,MSP_CLT
AA,ORD,BWI,US,-87.9048,41.9786,US,-76.668297,39.1754,#00ffff,ORD_BWI
DL,BOS,JFK,US,-71.00520325,42.36429977,US,-73.7789,40.639801,#ff0000,BOS_JFK
UA,IAH,LAX,US,-95.34140014648438,29.984399795532227,US,-118.407997,33.942501,#426ae1,IAH_LAX
AA,CLT,DAY,US,-80.94309997558594,35.2140007019043,US,-84.21939849853516,39.902400970458984,#00ffff,CLT_DAY
AA,DFW,HRL,US,-97.038002,32.896801,US,-97.65440368652344,26.228500366210938,#00ffff,DFW_HRL
AA,ORD,BNA,US,-87.9048,41.9786,US,-86.6781997680664,36.1245002746582,#00ffff,ORD_BNA
AA,PHX,GEG,US,-112.01200103759766,33.43429946899414,US,-117.53399658203125,47.61989974975586,#00ffff,PHX_GEG
AA,LGA,CHO,US,-73.872597,40.777199,US,-78.4529037475586,38.13859939575195,#00ffff,LGA_CHO
UA,IAH,CHS,US,-95.34140014648438,29.984399795532227,US,-80.04049683,32.89860153,#426ae1,IAH_CHS
DL,ATL,DFW,US,-84.428101,33.6367,US,-97.038002,32.896801,#ff0000,ATL_DFW
AA,DFW,PHX,US,-97.038002,32.896801,US,-112.01200103759766,33.43429946899414,#00ffff,DFW_PHX
UA,DEN,MRY,US,-104.672996521,39.861698150635,US,-121.84300231933594,36.58700180053711,#426ae1,DEN_MRY
UA,DEN,RDU,US,-104.672996521,39.861698150635,US,-78.7874984741211,35.877601623535156,#426ae1,DEN_RDU
AA,CLT,BWI,US,-80.94309997558594,35.2140007019043,US,-76.668297,39.1754,#00ffff,CLT_BWI
AA,DFW,VPS,US,-97.038002,32.896801,US,-86.525398,30.4832,#00ffff,DFW_VPS
UA,IAH,DTW,US,-95.34140014648438,29.984399795532227,US,-83.35340118408203,42.212398529052734,#426ae1,IAH_DTW
UA,IAH,TPA,US,-95.34140014648438,29.984399795532227,US,-82.533203125,27.975500106811523,#426ae1,IAH_TPA
AA,PHL,FLL,US,-75.24109649658203,39.87189865112305,US,-80.152702,26.072599,#00ffff,PHL_FLL
DL,ATL,HSV,US,-84.428101,33.6367,US,-86.775100708008,34.637199401855,#ff0000,ATL_HSV
UA,ORD,ATL,US,-87.9048,41.9786,US,-84.428101,33.6367,#426ae1,ORD_ATL
AA,DFW,SBA,US,-97.038002,32.896801,US,-119.8399963,34.42620087,#00ffff,DFW_SBA
AA,PHL,IND,US,-75.24109649658203,39.87189865112305,US,-86.294403,39.7173,#00ffff,PHL_IND
UA,DEN,SFO,US,-104.672996521,39.861698150635,US,-122.375,37.61899948120117,#426ae1,DEN_SFO
AA,PHL,CAK,US,-75.24109649658203,39.87189865112305,US,-81.44219970703125,40.916099548339844,#00ffff,PHL_CAK
DL,LGA,GSP,US,-73.872597,40.777199,US,-82.2189025879,34.8956985474,#ff0000,LGA_GSP
DL,MSP,MCI,US,-93.221802,44.882,US,-94.713898,39.2976,#ff0000,MSP_MCI
AA,PHL,ROA,US,-75.24109649658203,39.87189865112305,US,-79.975403,37.3255,#00ffff,PHL_ROA
DL,BOS,CMH,US,-71.00520325,42.36429977,US,-82.891899,39.998001,#ff0000,BOS_CMH
DL,LGA,SDF,US,-73.872597,40.777199,US,-85.736,38.1744,#ff0000,LGA_SDF
AA,LAX,ELP,US,-118.407997,33.942501,US,-106.3779984,31.80719948,#00ffff,LAX_ELP
UA,ORD,EAR,US,-87.9048,41.9786,US,-99.00679779,40.72700119,#426ae1,ORD_EAR
UA,EWR,RDU,US,-74.168701171875,40.692501068115234,US,-78.7874984741211,35.877601623535156,#426ae1,EWR_RDU
AA,DCA,CAE,US,-77.037697,38.8521,US,-81.11949920654297,33.93880081176758,#00ffff,DCA_CAE
AA,CLT,STL,US,-80.94309997558594,35.2140007019043,US,-90.370003,38.748697,#00ffff,CLT_STL
AA,PHL,MSN,US,-75.24109649658203,39.87189865112305,US,-89.3375015258789,43.13990020751953,#00ffff,PHL_MSN
UA,EWR,STL,US,-74.168701171875,40.692501068115234,US,-90.370003,38.748697,#426ae1,EWR_STL
AA,DCA,ATL,US,-77.037697,38.8521,US,-84.428101,33.6367,#00ffff,DCA_ATL
UA,IAD,AVP,US,-77.45580292,38.94449997,US,-75.72339630130001,41.338500976599995,#426ae1,IAD_AVP
DL,LGA,OMA,US,-73.872597,40.777199,US,-95.894096,41.3032,#ff0000,LGA_OMA
UA,ORD,LNK,US,-87.9048,41.9786,US,-96.75920104980469,40.85100173950195,#426ae1,ORD_LNK
UA,IAH,MOT,US,-95.34140014648438,29.984399795532227,US,-101.27999877929688,48.2593994140625,#426ae1,IAH_MOT
DL,ATL,DEN,US,-84.428101,33.6367,US,-104.672996521,39.861698150635,#ff0000,ATL_DEN
DL,BOS,PIT,US,-71.00520325,42.36429977,US,-80.23290253,40.49150085,#ff0000,BOS_PIT
UA,IAH,CVG,US,-95.34140014648438,29.984399795532227,US,-84.667801,39.048801,#426ae1,IAH_CVG
UA,ORD,ERI,US,-87.9048,41.9786,US,-80.1738667488,42.0831270134,#426ae1,ORD_ERI
AA,PHX,MTJ,US,-112.01200103759766,33.43429946899414,US,-107.893997192,38.509799957300004,#00ffff,PHX_MTJ
DL,MSP,SLC,US,-93.221802,44.882,US,-111.97799682617188,40.78839874267578,#ff0000,MSP_SLC
UA,ORD,TUS,US,-87.9048,41.9786,US,-110.938053,32.115004,#426ae1,ORD_TUS
DL,ATL,SEA,US,-84.428101,33.6367,US,-122.308998,47.449001,#ff0000,ATL_SEA
DL,JFK,MSP,US,-73.7789,40.639801,US,-93.221802,44.882,#ff0000,JFK_MSP
AA,DFW,SEA,US,-97.038002,32.896801,US,-122.308998,47.449001,#00ffff,DFW_SEA
DL,SLC,MSN,US,-111.97799682617188,40.78839874267578,US,-89.3375015258789,43.13990020751953,#ff0000,SLC_MSN
DL,SEA,TUS,US,-122.308998,47.449001,US,-110.938053,32.115004,#ff0000,SEA_TUS
UA,IAD,LEX,US,-77.45580292,38.94449997,US,-84.60590362548828,38.0364990234375,#426ae1,IAD_LEX
DL,SLC,DFW,US,-111.97799682617188,40.78839874267578,US,-97.038002,32.896801,#ff0000,SLC_DFW
DL,LGA,MCO,US,-73.872597,40.777199,US,-81.30899810791016,28.429399490356445,#ff0000,LGA_MCO
AA,DFW,RAP,US,-97.038002,32.896801,US,-103.05699920654297,44.0452995300293,#00ffff,DFW_RAP
DL,DTW,CLT,US,-83.35340118408203,42.212398529052734,US,-80.94309997558594,35.2140007019043,#ff0000,DTW_CLT
UA,DEN,CYS,US,-104.672996521,39.861698150635,US,-104.8119965,41.15570068,#426ae1,DEN_CYS
UA,IAH,BHM,US,-95.34140014648438,29.984399795532227,US,-86.75350189,33.56290054,#426ae1,IAH_BHM
AA,DFW,HDN,US,-97.038002,32.896801,US,-107.2180023,40.48120117,#00ffff,DFW_HDN
DL,RDU,BNA,US,-78.7874984741211,35.877601623535156,US,-86.6781997680664,36.1245002746582,#ff0000,RDU_BNA
AA,DFW,GPT,US,-97.038002,32.896801,US,-89.07009887695312,30.40730094909668,#00ffff,DFW_GPT
DL,LGA,TYS,US,-73.872597,40.777199,US,-83.9940033,35.81100082,#ff0000,LGA_TYS
DL,BOS,LAS,US,-71.00520325,42.36429977,US,-115.1520004,36.08010101,#ff0000,BOS_LAS
DL,LGA,BNA,US,-73.872597,40.777199,US,-86.6781997680664,36.1245002746582,#ff0000,LGA_BNA
DL,ATL,PWM,US,-84.428101,33.6367,US,-70.309303,43.646198,#ff0000,ATL_PWM
DL,SLC,BZN,US,-111.97799682617188,40.78839874267578,US,-111.1529999,45.77750015,#ff0000,SLC_BZN
AA,CLT,SRQ,US,-80.94309997558594,35.2140007019043,US,-82.55439758300781,27.39539909362793,#00ffff,CLT_SRQ
DL,ATL,CAK,US,-84.428101,33.6367,US,-81.44219970703125,40.916099548339844,#ff0000,ATL_CAK
AA,CLT,MDT,US,-80.94309997558594,35.2140007019043,US,-76.7633972168,40.1935005188,#00ffff,CLT_MDT
DL,DTW,DFW,US,-83.35340118408203,42.212398529052734,US,-97.038002,32.896801,#ff0000,DTW_DFW
DL,MSP,MCO,US,-93.221802,44.882,US,-81.30899810791016,28.429399490356445,#ff0000,MSP_MCO
DL,SEA,BNA,US,-122.308998,47.449001,US,-86.6781997680664,36.1245002746582,#ff0000,SEA_BNA
UA,DEN,PIT,US,-104.672996521,39.861698150635,US,-80.23290253,40.49150085,#426ae1,DEN_PIT
DL,DTW,DSM,US,-83.35340118408203,42.212398529052734,US,-93.66310119628906,41.534000396728516,#ff0000,DTW_DSM
DL,JFK,LAX,US,-73.7789,40.639801,US,-118.407997,33.942501,#ff0000,JFK_LAX
UA,ORD,PAH,US,-87.9048,41.9786,US,-88.7738037109375,37.06079864501953,#426ae1,ORD_PAH
UA,ORD,PDX,US,-87.9048,41.9786,US,-122.5979996,45.58869934,#426ae1,ORD_PDX
AA,CLT,TPA,US,-80.94309997558594,35.2140007019043,US,-82.533203125,27.975500106811523,#00ffff,CLT_TPA
AA,CLT,DFW,US,-80.94309997558594,35.2140007019043,US,-97.038002,32.896801,#00ffff,CLT_DFW
UA,IAD,BTV,US,-77.45580292,38.94449997,US,-73.15329742429999,44.471900939899996,#426ae1,IAD_BTV
UA,DEN,BIL,US,-104.672996521,39.861698150635,US,-108.54299926757812,45.807701110839844,#426ae1,DEN_BIL
AA,DCA,DTW,US,-77.037697,38.8521,US,-83.35340118408203,42.212398529052734,#00ffff,DCA_DTW
UA,ORD,OGG,US,-87.9048,41.9786,US,-156.429993,20.8986,#426ae1,ORD_OGG
UA,DEN,DAY,US,-104.672996521,39.861698150635,US,-84.21939849853516,39.902400970458984,#426ae1,DEN_DAY
UA,EWR,GSP,US,-74.168701171875,40.692501068115234,US,-82.2189025879,34.8956985474,#426ae1,EWR_GSP
DL,DTW,GRB,US,-83.35340118408203,42.212398529052734,US,-88.12960052490234,44.48509979248047,#ff0000,DTW_GRB
UA,ORD,TYS,US,-87.9048,41.9786,US,-83.9940033,35.81100082,#426ae1,ORD_TYS
AA,CLT,HHH,US,-80.94309997558594,35.2140007019043,US,-80.6975021362,32.2243995667,#00ffff,CLT_HHH
DL,DTW,RDU,US,-83.35340118408203,42.212398529052734,US,-78.7874984741211,35.877601623535156,#ff0000,DTW_RDU
UA,SFO,BUR,US,-122.375,37.61899948120117,US,-118.35900115966797,34.20069885253906,#426ae1,SFO_BUR
AA,ORD,LAS,US,-87.9048,41.9786,US,-115.1520004,36.08010101,#00ffff,ORD_LAS
AA,ORD,BMI,US,-87.9048,41.9786,US,-88.91590118,40.47710037,#00ffff,ORD_BMI
AA,ORD,RIC,US,-87.9048,41.9786,US,-77.3197021484375,37.50519943237305,#00ffff,ORD_RIC
AA,MIA,BWI,US,-80.29060363769531,25.79319953918457,US,-76.668297,39.1754,#00ffff,MIA_BWI
DL,MSP,RDU,US,-93.221802,44.882,US,-78.7874984741211,35.877601623535156,#ff0000,MSP_RDU
DL,RDU,TPA,US,-78.7874984741211,35.877601623535156,US,-82.533203125,27.975500106811523,#ff0000,RDU_TPA
AA,PHL,GRR,US,-75.24109649658203,39.87189865112305,US,-85.52279663,42.88079834,#00ffff,PHL_GRR
DL,SEA,IAD,US,-122.308998,47.449001,US,-77.45580292,38.94449997,#ff0000,SEA_IAD
AA,DFW,GCK,US,-97.038002,32.896801,US,-100.723999023,37.9275016785,#00ffff,DFW_GCK
UA,EWR,PBI,US,-74.168701171875,40.692501068115234,US,-80.09559631347656,26.68320083618164,#426ae1,EWR_PBI
DL,MSP,ICT,US,-93.221802,44.882,US,-97.433098,37.649899,#ff0000,MSP_ICT
AA,CLT,PNS,US,-80.94309997558594,35.2140007019043,US,-87.1866,30.4734,#00ffff,CLT_PNS
AA,DFW,ELP,US,-97.038002,32.896801,US,-106.3779984,31.80719948,#00ffff,DFW_ELP
DL,SLC,PIT,US,-111.97799682617188,40.78839874267578,US,-80.23290253,40.49150085,#ff0000,SLC_PIT
UA,ORD,HSV,US,-87.9048,41.9786,US,-86.775100708008,34.637199401855,#426ae1,ORD_HSV
UA,IAH,SLC,US,-95.34140014648438,29.984399795532227,US,-111.97799682617188,40.78839874267578,#426ae1,IAH_SLC
UA,IAH,PDX,US,-95.34140014648438,29.984399795532227,US,-122.5979996,45.58869934,#426ae1,IAH_PDX
AA,DFW,BHM,US,-97.038002,32.896801,US,-86.75350189,33.56290054,#00ffff,DFW_BHM
DL,MSP,ANC,US,-93.221802,44.882,US,-149.99600219726562,61.174400329589844,#ff0000,MSP_ANC
DL,ATL,BNA,US,-84.428101,33.6367,US,-86.6781997680664,36.1245002746582,#ff0000,ATL_BNA
